yield_mg_ha,prcp_mm_day,srad_w_m_2,swe_kg_m_2,tmax_deg_c,tmin_deg_c,vp_pa,soilpH,om_pct,soilk_ppm,soilp_ppm,pHom,soilpH^2,om_pct^2,p+k,norm_pk
2.5613863897526628,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,28.09,10.24,152,0.552631579
4.010191748514793,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,28.09,10.24,152,0.552631579
5.9463142219360945,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,28.09,10.24,152,0.552631579
2.8158879564153847,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
2.958138670508876,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
6.0860037417088755,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
4.9854965356627226,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
2.372493924411834,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
5.269459231736095,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
5.748767826688757,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
3.1991501965633136,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
4.456349720160946,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
4.938735907299408,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,42.25,11.56,152,0.5
