site,hybrid,yield_mg_ha,grain_moisture,prcp_mm_day,srad_w_m_2,swe_kg_m_2,tmax_deg_c,tmin_deg_c,vp_pa,soilpH,om_pct,soilk_ppm,soilp_ppm,pHom,pk,soilpH^2,om_pct^2,p+k,norm_pk,previous_crop,longitude,latitude,DAP
IAH1,B14A/C103,5.795388344,21.5,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,159
IAH1,B14A/C103,4.471019647,19.3,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,160
IAH1,TX775/TX777,3.419228277,36.7,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,160
IAH1,CG119/CG108,6.276007455,14.3,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,160
IAH1,CG122/CG102,5.468609875,14.8,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,160
IAH1,CH753-4/LH82,4.058217997,16.5,3.6894794520547944,304.7765479452055,6.102082191780822,15.355917808219179,3.9615068493150685,1007.4743287671233,5.3,3.2,118,34,16.96,4012,28.09,10.24,152,0.552631579,soybean,-93.69447028,41.99825412,160
IAH3,B37/C103,3.000536347,20.7,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,Z013E0090/LH185,4.592318472,22.9,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,KY21/PHB47,3.19645419,21.8,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,BSSSC0_048/PHZ51,5.045203081,16.5,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,KY21/LH195,6.074615349,26.7,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,LH82/TX777,3.952166544,31.6,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,CG60/CG111,5.501528088,14.9,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,BSSSC0_047/PHZ51,4.440584332,15.2,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,BSSSC0_019/PHZ51,4.932898158,15.4,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,Z022E0110/LH82,5.388813751,19.6,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,CG60/LH162,5.489450373,15,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,CML228/PHZ51,5.108266056,27.5,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,TX29A/PHZ51,3.150692262,18.3,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
IAH3,LH82/TX777,3.267494137,34.2,3.134054794520548,305.3917808219178,5.6556712328767125,15.049808219178082,3.5696986301369864,981.8998082191781,6.5,3.4,114,38,22.1,4332,42.25,11.56,152,0.5,soybean,-92.24139608,41.97577808,154
